12/26/2023 8:56:30 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 8:56:32 AM - User: huda, Activity: Accessed Edit page for student with ID 1
12/26/2023 9:02:03 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 9:18:10 AM - User: Anonymous, Activity: Attempted to edit student with ID 1 without logging in
12/26/2023 9:45:45 AM - User: huda, Activity: User login successfully
12/26/2023 9:45:49 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 9:48:52 AM - User: Anonymous, Activity: Attempted to access all Students without logging in
12/26/2023 9:48:58 AM - User: huda, Activity: User login successfully
12/26/2023 9:49:01 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 9:49:46 AM - User: Anonymous, Activity: Attempted to access all Students without logging in
12/26/2023 9:50:05 AM - User: Anonymous, Activity: Attempted to access all Students without logging in
12/26/2023 9:50:11 AM - User: huda, Activity: User login successfully
12/26/2023 9:50:13 AM - User: huda, Activity: Accessed all students successfully
12/26/2023 9:50:23 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 9:52:35 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 9:52:42 AM - User: huda, Activity: User login successfully
12/26/2023 9:52:43 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 9:55:01 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 9:55:08 AM - User: huda, Activity: User login successfully
12/26/2023 9:55:10 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 9:57:15 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 9:57:22 AM - User: huda, Activity: User login successfully
12/26/2023 9:57:24 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 9:58:32 AM - User: Anonymous, Activity: Attempted to access dashboard without logging in
12/26/2023 9:58:37 AM - User: huda, Activity: User login successfully
12/26/2023 9:58:39 AM - User: huda, Activity: Accessed Dashboard
12/26/2023 9:59:06 AM - User: huda, Activity: Logout from system
